id,amount,rent,label,image,deed_type,scoring,last_score_update
1,4800,492,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image34.jpg,PARTICIPATIVE,1,2023-09-2
2,7700,985,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image174.jpg,PARTICIPATIVE,1,2023-09-5
3,5700,601,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image146.jpg,PARTICIPATIVE,1,2023-09-9
4,5800,708,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image1.jpg,PARTICIPATIVE,1,2023-09-1
5,9100,1208,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image125.jpg,APARTMENT,4,2023-09-9
6,7600,1086,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image3.jpg,APARTMENT,4,2023-09-5
7,3300,381,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image87.jpg,APARTMENT,4,2023-09-18
8,3700,468,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image97.jpg,APARTMENT,4,2023-09-4
9,7500,848,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image143.jpg,PARTICIPATIVE,1,2023-09-30
10,6400,804,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image197.jpg,PARTICIPATIVE,1,2023-09-19
11,6800,735,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image4.jpg,PARTICIPATIVE,1,2023-09-20
12,6900,860,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image160.jpg,APARTMENT,4,2023-09-24
13,1700,231,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image41.jpg,PARTICIPATIVE,1,2023-09-12
14,7600,886,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image224.jpg,APARTMENT,4,2023-09-3
15,8300,1065,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image155.jpg,PARTICIPATIVE,1,2023-09-30
16,5700,834,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image58.jpg,PARTICIPATIVE,1,2023-09-7
17,4700,621,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image124.jpg,APARTMENT,4,2023-09-10
18,6400,873,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image118.jpg,APARTMENT,4,2023-09-18
19,8600,1174,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image188.jpg,PARTICIPATIVE,1,2023-09-13
20,6200,776,Investissez en Toute Sérénité : Profitez de la Sécurité et de la Rentabilité de l'Investissement Participatif Immobilier !,image140.jpg,APARTMENT,4,2023-09-10
21,3800,462,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image2.jpg,APARTMENT,4,2023-09-18
22,4900,608,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image169.jpg,APARTMENT,4,2023-09-21
23,3600,446,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image53.jpg,PARTICIPATIVE,1,2023-09-25
24,6600,976,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image229.jpg,APARTMENT,4,2023-09-6
25,8700,1201,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image112.jpg,PARTICIPATIVE,1,2023-09-10
26,6700,853,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image26.jpg,PARTICIPATIVE,1,2023-09-7
27,1600,177,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image130.jpg,PARTICIPATIVE,1,2023-09-14
28,2800,385,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image137.jpg,PARTICIPATIVE,1,2023-09-18
29,5700,766,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image69.jpg,APARTMENT,4,2023-09-8
30,6100,662,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image162.jpg,APARTMENT,4,2023-09-19
31,7600,1095,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image133.jpg,PARTICIPATIVE,1,2023-09-13
32,9800,1120,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image211.jpg,APARTMENT,4,2023-09-3
33,9800,1083,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image36.jpg,APARTMENT,4,2023-09-13
34,5900,733,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image133.jpg,PARTICIPATIVE,1,2023-09-7
35,5200,715,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image101.jpg,APARTMENT,4,2023-09-16
36,6500,807,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image212.jpg,APARTMENT,4,2023-09-4
37,5600,651,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image66.jpg,APARTMENT,4,2023-09-22
38,3400,342,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image167.jpg,PARTICIPATIVE,1,2023-09-1
